#TC_ID/PC_ID , Testcase Description,Service ID,Sub service ID,Expected response data
TC_ID-001 , Start default session,0x10,0x01,0x50
TC_ID-002 , Start programming session,0x10,0x02,0x50
TC_ID-003 , Start Extended session,0x10,0x03,0x50
TC_ID-004 , Sub function not supported,0x10,0xFF,0x7F
TC_ID-005 , Incorrect message length(No sub function),0x10,nan,0x7F
TC_ID-006 , Incorrect message length,0x10,0x01 0x01,0x7F
TC_ID-007 , Hard reset,0x11,0x01,0x51
TC_ID-008 , Soft reset,0x11,0x03,0x51
TC_ID-009 , Sub function not supported(out ofrange),0x11,0xFF,0x7F
TC_ID-010 , Incorrect message length(No sub function),0x11,nan,0x7F
TC_ID-012 , Incorrect message length,0x11,0x01 0x01,0x7F
PC_ID-001 , Start Default session,0x10,0x01,0x50
TC_ID-022 , Service not supported in active session(No sub function),0x85,nan,0x7F
TC_ID-023 , DTC setting ON wrong Pre-condition (85 01),0x85,0x01,0x7F
TC_ID-024 , DTC setting OFF wrong Pre-condition(85 02) ,0x85,0x02,0x7F
TC_ID-025 , Service not supported in active session(not valid sub function),0x85,0xFF,0x7F
TC_ID-026 , Service not supported in active session(Double sub function),0x85,0xFF 0xFF,0x7F
PC_ID-002 , Start Extended session,0x10,0x03,0x50
TC_ID-027 , Incorrect message length(No sub function),0x85,nan,0x7F
TC_ID-028 , DTC setting ON wrong Pre-condition (85 01),0x85,0x01,0xC5
TC_ID-029 , DTC setting OFF wrong Pre-condition(85 02) ,0x85,0x02,0xC5
TC_ID-030 , Sub function not supported(not valid sub function),0x85,0xFF,0x7F
TC_ID-031 , Sub function not supported(Double sub function),0x85,0xFF 0xFF,0x7F
TC_ID-032 , Sub function not supported(not valid sub function),0x85,0xFF,0x7F
TC_ID-033 , Sub function not supported(Double sub function),0x85,0xFF 0xFF,0x7F
TC_ID-034 , Read DTC with Extended session(19 01) ,0x19,0x01 0x01,0x59
TC_ID-035 , Read DTC Extended session(19 02) ,0x19,0x02 0x01,0x59
TC_ID-036 , Subfunction not supported,0x19,0x0F 0xFF,0x7F
TC_ID-037 , Subfunction not supported(No Mask),0x19,0x0F,0x7F
TC_ID-038 , Subfunction not supported(properMask improper record),0x19,0x0F 01,0x7F
TC_ID-039 , Subfunction not supported(properMask improper record with 0xFF),0x19,0xFF 01,0x7F
TC_ID-041 , Request out of range(invalid status Byte),0x19,0x0F 0x01,0x7F
TC_ID-042 , Incorrect message length(No Read records),0x19,nan,0x7F
TC_ID-043 , Fault memory clear Extended session(14 0xFFFFFF) ,0x14,0xFFFFFF,0x54
TC_ID-044 , Conditions not correct(invalid range),0x14,0xFFEEEE,0x7F
PC_ID-003 , Start default session,0x10,0x01,0x50
TC_ID-046 , RX_SWIN_F1_EF_Read(Defaultsession),0x22,0xF1EF,0x62
TC_ID-047 , B_CAN_Database_Version_F1_00_Read(Defaultsession),0x22,0xF100,0x62
TC_ID-048 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Defaultsession),0x22,0xF187,0x62
TC_ID-049 , Manufacturing_F1_8B_Read(Defaultsession),0x22,0xF18B,0x62
TC_ID-050 , ECU_Serial_Number_F1_8C_Read(Defaultsession),0x22,0xF18C,0x62
TC_ID-051 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Defaultsession),0x22,0xF191,0x62
TC_ID-052 , HardwareVersionNumber_F1_93_Read(Defaultsession),0x22,0xF193,0x62
TC_ID-053 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Defaultsession),0x22,0xF1C1,0x62
TC_ID-054 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Defaultsession),0x22,0xF195,0x62
TC_ID-055 , Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Defaultsession),0x22,0xF1A0,0x62
TC_ID-056 , ECU_Supplier_Code_F1_A1_Read(Defaultsession),0x22,0xF1A1,0x62
TC_ID-057 , ECU_Software_UNIT_number_F1_B0_Read(Defaultsession),0x22,0xF1B0,0x62
TC_ID-058 , ECU_Software_UNIT1_Version_F1_B1_Read(Defaultsession),0x22,0xF1B1,0x62
TC_ID-059 , S_W_Version_Dataidentifier_F1_DD_Read(Defaultsession),0x22,0xF1DD,0x62
TC_ID-060 , SystemNameOrEngineTypeDataIdentifier_Read(Defaultsession),0x22,0xF197,0x62
PC_ID-004 , Start Extended session,0x10,0x03,0x50
TC_ID-061 , RX_SWIN_F1_EF_Read(Extended session),0x22,0xF1EF,0x62
TC_ID-062 , B_CAN_Database_Version_F1_00_Read(Extendedsession),0x22,0xF100,0x62
TC_ID-063 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Extendedsession),0x22,0xF187,0x62
TC_ID-064 , Manufacturing_F1_8B_Read(Extendedsession),0x22,0xF18B,0x62
TC_ID-065 , ECU_Serial_Number_F1_8C_Read(Extendedsession),0x22,0xF18C,0x62
TC_ID-066 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Extendedsession),0x22,0xF191,0x62
TC_ID-067 , HardwareVersionNumber_F1_93_Read(Extendedsession),0x22,0xF193,0x62
TC_ID-068 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Extendedsession),0x22,0xF1C1,0x62
TC_ID-069 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Extendedsession),0x22,0xF195,0x62
TC_ID-070 , Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Extendedsession),0x22,0xF1A0,0x62
TC_ID-071 , ECU_Supplier_Code_F1_A1_Read(Extendedsession),0x22,0xF1A1,0x62
TC_ID-072 , ECU_Software_UNIT_number_F1_B0_Read(Extendedsession),0x22,0xF1B0,0x62
TC_ID-073 , ECU_Software_UNIT1_Version_F1_B1_Read(Extendedsession),0x22,0xF1B1,0x62
TC_ID-074 , S_W_Version_Dataidentifier_F1_DD_Read(Extendedsession),0x22,0xF1DD,0x62
